Salinity,Water,Sediment salinity,Sediment water content,E-0.5h,E-1h,E-1.5h,E-2h,I-0.5h,I-1h,I-1.5h,I-2h,,Salinity,Time,QC,QR,QC,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,1,0.5,0.2,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,1,0.4,0.1,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-15,1.5,0.25,0.25,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-15,1.5,0.5,0.1,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-15,1.5,0.75,0.15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-15,1.5,0.4,0.15,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-15,1.5,0.5,0.25,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-15,1.5,0.6,0.1,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-10,1.5,0.7,0.1,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-10,1.5,0.85,0.35,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-10,1.5,0.75,0.35,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-10,1.5,0.2,0.2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-10,1.5,0.3,0.3,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-10,1.5,0.45,0.05,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-5,1.5,0.65,0.05,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-5,1.5,0.45,0.3,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
