Salinity,Water,Sediment salinity,Sediment water content,E-0.5h,E-1h,E-1.5h,E-2h,I-0.5h,I-1h,I-1.5h,I-2h,,water,Time,QC,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,1,0.2,0.25,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,1,0.1,0.2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,1,0.1,0.35,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,1.5,0.3,0.25,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,1.5,0.5,0.55,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,1.5,0.25,0.45,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,1.5,0.2,0.45,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,1.5,0.1,0.35,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,1.5,0.2,0.4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,2,0.2,0.3,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,2,0.3,0.35,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,2,0.2,0.55,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,2,0.35,0.35,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,2,0.25,0.4,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,2,0.15,0.4,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
