Salinity,Water,Sediment salinity,Sediment water content,E-0.5h,E-1h,E-1.5h,E-2h,I-0.5h,I-1h,I-1.5h,I-2h
10,-0.8,2.40 ,-8.74 ,0.75,0.8,0.8,0.75,0.05,0.3,0.1,0.1
10,-0.8,2.15 ,7.92 ,0.65,0.8,0.65,0.85,0.2,0.2,0.1,0.1
10,-0.8,0.93 ,-7.19 ,0.55,0.7,0.65,0.85,0.2,0.1,0.1,0.1
10,-0.8,1.60 ,-7.26 ,0.75,0.85,0.85,0.8,0.25,0.05,0.05,0.2
10,0.4,-0.30 ,2.33 ,0.3,0.25,0.4,0.3,0.3,0.45,0.55,0.45
10,0.4,-0.33 ,1.13 ,0.5,0.35,0.35,0.25,0.4,0.4,0.7,0.5
10,0.4,-0.20 ,1.11 ,0.3,0.4,0.35,0.2,0.45,0.45,0.5,0.35
10,0.4,-0.27 ,3.32 ,0.25,0.1,0.15,0.35,0.25,0.35,0.8,0.65
10,0.4,-0.13 ,-3.80 ,0.15,0.2,0.2,0.3,0.3,0.45,0.4,0.7
10,0.4,0.20 ,1.04 ,0.35,0.3,0.25,0.55,0.25,0.4,0.55,0.6
10,0.8,-0.50 ,4.50 ,0.05,0.05,0.05,0.05,0.6,0.7,0.8,0.8
10,0.8,-0.53 ,5.12 ,0.1,0.2,0.1,0.3,0.3,0.55,0.7,0.6
10,0.8,-0.83 ,2.76 ,0.1,0.1,0.15,0.15,0.2,0.35,0.45,0.6
10,0.8,0.47 ,0.10 ,0.05,0.15,0.2,0.25,0.45,0.35,0.6,0.5
10,0.8,-0.43 ,2.20 ,0.4,0.35,0.45,0.45,0.4,0.35,0.55,0.5
10,0.8,-0.50 ,2.28 ,0.25,0.25,0.3,0.4,0.2,0.45,0.65,0.5
10,-0.4,-0.97 ,-3.89 ,0.1,0.3,0.45,0.4,0.1,0.4,0.15,0.35
10,-0.4,0.53 ,-7.21 ,0.2,0.45,0.4,0.55,0.05,0.3,0.3,0.3
10,-0.4,0.73 ,0.92 ,0.45,0.65,0.6,0.65,0.3,0.15,0.15,0.15
10,-0.4,-0.27 ,-2.81 ,0.35,0.15,0.75,0.75,0.1,0.15,0.2,0.15
10,-0.4,0.80 ,-1.52 ,0.4,0.7,0.85,0.85,0.05,0.1,0.2,0.15
10,-0.4,0.37 ,-4.41 ,0.25,0.6,0.65,0.75,0.2,0.1,0.2,0.1
15,0,0.23 ,3.05 ,0.3,0.3,0.45,0.45,0.15,0.15,0.15,0.1
15,0,0.25 ,1.49 ,0.1,0.25,0.6,0.6,0.05,0.05,0.1,0.1
15,0,0.20 ,1.41 ,0.1,0.1,0.15,0.4,0.05,0.05,0.05,0.05
15,0,0.23 ,0.13 ,0.5,0.75,0.75,0.8,0.2,0,0,0.05
15,0,0.00 ,-2.79 ,0.3,0.5,0.55,0.45,0.1,0.2,0.25,0.25
15,0,-0.20 ,0.74 ,0.4,0.4,0.4,0.65,0.15,0.1,0.2,0.2
15,-0.8,2.70 ,-8.16 ,0.3,0.4,0.5,0.5,0.4,0.3,0.3,0.15
15,-0.8,2.50 ,-6.46 ,0.6,0.85,0.85,0.8,0.2,0.15,0.2,0.15
15,-0.8,3.03 ,-11.60 ,0.65,0.8,0.7,0.8,0.2,0.15,0.15,0.15
